(7462, 44485)
(7463, 44486)
(7463, 45350)
(11444, 10274)
(22761, 33773)
(22762, 33772)
(22763, 42061)
(23293, 43385)
(23294, 43386)
(23295, 43387)
(23296, 28980)
(23296, 39757)
(23297, 28981)
(23297, 39756)
(23930, 47828)
(23931, 47829)
(23932, 47830)
(23933, 47831)
(23933, 32789)
(23934, 47832)
(24664, 45351)
(24665, 48031)
(24666, 48032)
(43329, 15783)
(44100, 48986)
(44100, 3299)
(44101, 48987)
(44101, 3298)
(52503, 7449)
(82196, 31165)
(82197, 37655)
(87838, 46205)
(87839, 4927)
(87839, 38593)
(87840, 46207)
(87841, 46208)
(103100, 43208)
(103102, 47833)
(106740, 17891)
(106741, 1200)
(106741, 8793)
(106742, 8792)
(106743, 17888)
(110158, 5001)
(110735, 30285)
(115115, 17890)
(115116, 1201)
(119043, 21299)
(119044, 21300)
(119044, 2761)
(127590, 8225)
(127590, 1311)
(139291, 20389)
(141122, 42293)
(146557, 40432)
(151588, 3363)
(151589, 3364)
(151590, 3365)
(151591, 3366)
(151591, 39533)
(154120, 2482)
(154121, 40563)
(154121, 2481)
(154122, 51014)
(166995, 21016)
(166996, 21017)
(190942, 27316)
(190943, 15732)
(190944, 27314)
(190945, 27313)
(191254, 10275)
(191255, 12560)
(192987, 34641)
(192988, 34640)
(192989, 19875)
(192990, 19874)
(200516, 37656)
(203694, 18268)
(203694, 8171)
(203695, 18269)
(214565, 18267)
(215462, 2654)
(215462, 22648)
(216707, 6886)
(216708, 6885)
(227010, 48984)
(227011, 48985)
(227012, 12185)
(228883, 4926)
(228884, 46206)
(228885, 4928)
(233204, 24118)
(235983, 11773)
(240972, 1443)
(246286, 21018)
(248682, 2483)
(248684, 51013)
(251801, 43976)
(251802, 2655)
(251802, 22647)
(256389, 2653)
(256389, 22649)
(256392, 22646)
(262693, 10503)
(266144, 34639)
(266145, 34638)
(273093, 40564)
(273094, 40565)
(273095, 40566)
(276850, 24119)
(276851, 25478)
(276852, 24117)
(286295, 47002)
(286960, 31355)
(286961, 31356)
(286961, 47677)
(295678, 21063)
(295679, 21064)
(295680, 21065)
(295952, 2954)
(297747, 42064)
(297748, 42063)
(297749, 42062)
(301018, 32917)
(301019, 32916)
(303653, 31164)
(321401, 11822)
(321402, 11821)
(337968, 8348)
(337969, 8349)
(339408, 43388)
(350123, 4618)
(356345, 21399)
(356346, 6884)
(357454, 38594)
(357456, 38592)
(357457, 38591)
(367618, 48520)
(378510, 49738)
(378511, 25093)
(378512, 25092)
(379871, 24602)
(382783, 2128)
(384853, 31793)
(384854, 31792)
(384855, 27315)
(386146, 39127)
(386147, 2127)
(389906, 7608)
(389907, 7609)
(396271, 33771)
(400299, 49385)
(400300, 49384)
(418352, 44528)
(418353, 44527)
(426297, 45382)
(428617, 9954)
(428618, 9955)
(428619, 9956)
(428620, 9957)
(439055, 44588)
(442696, 15733)
(442697, 31791)
(442698, 15731)
(442699, 31789)
(450726, 44465)
(450727, 44466)
(451484, 49737)
(452577, 28978)
(452578, 28979)
(452578, 39758)
(457298, 47676)
(468060, 43144)
(487847, 39978)
(487848, 39977)
(487850, 32915)
(487851, 32914)
